	MoveAhead	RotateLeft	RotateRight	LookUp	LookDown	FoundTom	FoundBowl	Done	Success
157	11	0	10	0	2	2	1	1	1
158	18	0	14	0	2	2	1	1	1
159	28	0	26	0	0	1	4	1	1
160	13	0	6	0	1	1	1	1	1
161	10	0	8	0	2	2	1	1	1
162	15	0	8	0	2	1	2	1	1
163	94	0	6	0	0	0	0	0	0
164	10	0	8	0	1	2	1	1	1
165	10	0	10	0	0	2	1	1	1
166	5	0	8	0	2	1	1	1	1
167	8	0	2	0	2	1	1	1	1
168	18	0	12	0	1	1	1	1	1
169	15	0	14	0	1	1	1	1	1
170	14	0	8	0	0	2	1	1	1
171	16	0	12	0	0	2	1	1	1
172	9	0	8	0	0	1	1	1	1
173	18	0	10	0	2	1	1	1	1
174	11	0	12	0	0	2	1	1	1
175	14	0	8	0	2	2	1	1	1
176	5	0	10	0	2	2	1	1	1
177	13	0	6	0	1	2	1	1	1
178	21	0	14	0	0	1	2	1	1
179	1	0	0	0	0	3	0	1	0
180	10	0	6	0	1	2	1	1	1
181	9	0	6	0	2	2	1	1	1
182	10	0	6	0	1	2	1	1	1
183	17	0	8	0	1	2	1	1	1
184	32	0	20	0	1	1	3	1	1
185	10	0	6	0	2	2	1	1	1
186	8	0	12	0	2	2	1	1	1
187	15	0	10	0	0	1	1	1	1
188	10	0	10	0	0	2	1	1	1
189	15	0	10	0	0	2	1	1	1
190	99	0	1	0	0	0	0	0	0
191	12	0	10	0	2	1	1	1	1
192	22	0	14	0	0	1	2	1	1
193	14	0	10	0	2	2	1	1	1
194	20	0	18	0	0	1	1	1	1
195	7	0	4	0	1	1	1	1	1
196	14	0	12	0	2	1	3	1	1
197	17	0	10	0	1	2	1	1	1
198	11	0	8	0	2	1	2	1	1
199	20	0	14	0	2	2	1	1	1
200	22	0	8	0	1	2	1	1	1
201	13	0	6	0	2	2	1	1	1
202	13	0	8	0	0	1	1	1	1
203	10	0	6	0	0	2	1	1	1
204	12	0	6	0	1	1	2	1	1
205	27	0	14	0	1	1	3	1	1
206	14	0	12	0	1	1	1	1	1
207	10	0	10	0	0	2	1	1	1
208	10	0	6	0	2	2	1	1	1
209	25	0	18	0	1	1	2	1	1
210	13	0	10	0	0	1	2	1	1
211	15	0	12	0	2	2	2	1	1
212	9	0	6	0	0	1	2	1	1
213	25	0	20	0	0	1	2	1	1
214	10	0	8	0	2	2	1	1	1
215	7	0	6	0	2	2	1	1	1
216	14	0	14	0	0	2	1	1	1
217	15	0	12	0	2	2	1	1	1
218	9	0	8	0	0	2	1	1	1
219	10	0	8	0	1	2	1	1	1
220	18	0	8	0	0	1	1	1	1
221	15	0	6	0	2	2	1	1	1
222	9	0	8	0	2	2	1	1	1
223	13	0	6	0	1	2	1	1	1
224	95	0	5	0	0	0	0	0	0
225	11	0	4	0	1	1	1	1	1
226	12	0	2	0	2	1	1	1	1
227	7	0	6	0	2	2	1	1	1
228	16	0	8	0	1	2	1	1	1
229	10	0	10	0	1	2	1	1	1
230	21	0	8	0	1	2	1	1	1
231	12	0	8	0	0	2	1	1	1
232	10	0	12	0	1	2	1	1	1
233	5	0	8	0	0	1	1	1	1
234	15	0	10	0	0	1	1	1	1
235	15	0	6	0	1	1	1	1	1
236	12	0	8	0	2	1	1	1	1
237	24	0	18	0	1	1	2	1	1
238	15	0	10	0	2	1	2	1	1
239	6	0	6	0	0	2	1	1	1
240	20	0	10	0	0	1	2	1	1
241	16	0	12	0	2	2	1	1	1
242	3	0	6	0	2	2	1	1	1
243	15	0	8	0	0	2	1	1	1
244	15	0	10	0	1	1	2	1	1
245	6	0	6	0	2	1	1	1	1
246	20	0	14	0	1	2	1	1	1
247	8	0	10	0	2	2	1	1	1
248	20	0	20	0	1	2	1	1	1
249	28	0	22	0	0	1	3	1	1
250	13	0	12	0	1	1	1	1	1
251	11	0	12	0	2	2	1	1	1
252	11	0	10	0	2	2	1	1	1
253	9	0	6	0	2	2	1	1	1
254	10	0	6	0	0	2	1	1	1
255	16	0	12	0	2	2	1	1	1
256	15	0	12	0	1	2	1	1	1
257	20	0	10	0	0	1	2	1	1
258	13	0	6	0	1	1	1	1	1
259	10	0	10	0	0	2	1	1	1
260	18	0	6	0	1	1	1	1	1
261	13	0	8	0	0	1	1	1	1
262	14	0	12	0	1	1	2	1	1
263	13	0	12	0	1	2	1	1	1
264	9	0	6	0	0	2	1	1	1
265	21	0	8	0	1	2	1	1	1
266	20	0	10	0	2	2	2	1	1
267	14	0	12	0	1	2	1	1	1
268	9	0	2	0	2	1	2	1	1
269	10	0	12	0	2	2	1	1	1
270	22	0	8	0	1	2	1	1	1
271	13	0	6	0	2	2	1	1	1
272	5	0	4	0	1	2	1	1	1
273	10	0	12	0	2	2	1	1	1
274	15	0	12	0	0	2	1	1	1
275	9	0	6	0	1	1	1	1	1
276	16	0	12	0	0	2	1	1	1
277	15	0	8	0	2	2	1	1	1
278	17	0	6	0	0	2	1	1	1
279	27	0	16	0	0	1	2	1	1
280	3	0	10	0	1	2	1	1	1
281	16	0	10	0	0	1	1	1	1
282	16	0	12	0	0	1	1	1	1
283	10	0	6	0	2	2	1	1	1
284	2	0	6	0	2	2	1	1	1
285	7	0	8	0	2	2	1	1	1
286	15	0	12	0	0	1	2	1	1
287	15	0	12	0	1	2	1	1	1
288	7	0	10	0	0	2	1	1	1
289	11	0	12	0	2	2	1	1	1
290	7	0	6	0	2	2	1	1	1
291	8	0	4	0	1	1	1	1	1
292	11	0	10	0	2	2	1	1	1
293	9	0	6	0	2	2	1	1	1
294	10	0	6	0	2	2	1	1	1
295	12	0	12	0	2	1	1	1	1
296	15	0	8	0	1	2	2	1	1
297	10	0	8	0	1	2	1	1	1
298	5	0	4	0	1	2	1	1	1
299	12	0	8	0	0	2	1	1	1
300	14	0	8	0	0	2	1	1	1
301	8	0	8	0	1	2	1	1	1
302	17	0	10	0	2	2	2	1	1
303	14	0	10	0	0	1	1	1	1
304	20	0	14	0	2	2	1	1	1
305	12	0	4	0	1	1	1	1	1
306	12	0	12	0	0	1	1	1	1
307	15	0	10	0	0	2	1	1	1
308	9	0	8	0	1	2	1	1	1
309	22	0	8	0	1	2	1	1	1
310	10	0	12	0	1	2	1	1	1
311	5	0	8	0	0	1	1	1	1
312	5	0	8	0	0	1	1	1	1
313	17	0	8	0	2	2	1	1	1
314	16	0	12	0	2	1	2	1	1
315	14	0	10	0	0	2	1	1	1
316	6	0	8	0	2	2	1	1	1
317	7	0	6	0	0	2	1	1	1
318	20	0	6	0	0	1	1	1	1
319	22	0	12	0	2	2	1	1	1
320	12	0	10	0	1	2	1	1	1
321	15	0	6	0	2	1	2	1	1
322	10	0	10	0	2	2	1	1	1
323	12	0	8	0	0	1	2	1	1
324	8	0	6	0	0	1	1	1	1
325	18	0	8	0	2	1	1	1	1
326	12	0	2	0	1	1	1	1	1
327	16	0	8	0	2	2	1	1	1
328	96	0	4	0	0	0	0	0	0
329	99	0	0	0	1	0	0	0	0
330	13	0	12	0	1	2	2	1	1
331	10	0	8	0	2	2	1	1	1
332	7	0	10	0	0	1	1	1	1
333	10	0	12	0	1	2	1	1	1
334	17	0	10	0	2	2	1	1	1
335	22	0	12	0	2	2	1	1	1
336	8	0	6	0	2	1	1	1	1
337	4	0	2	0	1	2	1	1	1
338	10	0	6	0	1	2	1	1	1
339	17	0	6	0	2	1	2	1	1
340	20	0	18	0	0	1	1	1	1
341	12	0	8	0	0	2	1	1	1
342	2	0	4	0	2	2	1	1	1
343	10	0	6	0	2	2	1	1	1
344	10	0	12	0	0	2	1	1	1
345	15	0	6	0	1	1	1	1	1
346	23	0	14	0	1	1	2	1	1
347	16	0	8	0	2	2	1	1	1
348	9	0	12	0	0	2	1	1	1
349	18	0	8	0	2	1	1	1	1
350	100	0	0	0	0	0	0	0	0
351	10	0	6	0	2	1	1	1	1
352	17	0	8	0	0	1	1	1	1
353	5	0	2	0	2	2	2	1	1
354	11	0	2	0	2	1	1	1	1
355	16	0	8	0	2	2	1	1	1
356	8	0	6	0	2	2	1	1	1
357	0	0	0	0	100	0	0	0	0
358	11	0	6	0	0	1	1	1	1
359	10	0	12	0	1	2	1	1	1
360	9	0	6	0	0	2	1	1	1
361	18	0	8	0	0	1	1	1	1
362	12	0	8	0	0	1	2	1	1
363	11	0	4	0	0	1	1	1	1
364	23	0	18	0	0	1	2	1	1
365	16	0	12	0	1	2	1	1	1
366	10	0	8	0	1	2	1	1	1
367	16	0	8	0	0	1	1	1	1
368	10	0	8	0	2	2	1	1	1
369	10	0	8	0	0	1	1	1	1
370	21	0	14	0	1	2	1	1	1
371	12	0	6	0	2	1	1	1	1
372	17	0	12	0	1	2	2	1	1
373	15	0	10	0	1	2	1	1	1
374	15	0	12	0	1	2	1	1	1
375	10	0	10	0	0	2	1	1	1
376	13	0	6	0	2	2	1	1	1
377	17	0	12	0	1	2	1	1	1
378	16	0	12	0	2	2	2	1	1
379	28	0	22	0	0	1	4	1	1
380	11	0	12	0	2	2	1	1	1
381	13	0	6	0	2	1	1	1	1
382	9	0	8	0	2	2	1	1	1
383	4	0	2	0	0	1	1	1	1
384	10	0	10	0	2	2	1	1	1
385	6	0	6	0	1	2	1	1	1
386	12	0	8	0	2	1	3	1	1
387	10	0	6	0	0	2	1	1	1
388	8	0	6	0	1	1	1	1	1
389	14	0	14	0	2	2	1	1	1
390	100	0	0	0	0	0	0	0	0
391	18	0	14	0	2	2	1	1	1
392	10	0	8	0	0	2	1	1	1
393	10	0	10	0	2	2	1	1	1
394	20	0	14	0	1	2	1	1	1
395	9	0	8	0	2	2	1	1	1
396	17	0	12	0	2	2	1	1	1
397	23	0	8	0	1	2	1	1	1
398	28	0	24	0	0	1	3	1	1
399	10	0	6	0	1	2	1	1	1
400	15	0	8	0	1	2	1	1	1
401	22	0	12	0	2	2	1	1	1
402	15	0	10	0	0	1	1	1	1
403	29	0	24	0	0	1	3	1	1
404	28	0	16	0	0	1	2	1	1
405	10	0	6	0	0	2	1	1	1
406	10	0	6	0	1	2	1	1	1
407	20	0	10	0	2	2	1	1	1
408	16	0	14	0	2	2	1	1	1
409	14	0	12	0	2	2	1	1	1
410	6	0	2	0	2	1	2	1	1
411	10	0	8	0	2	2	1	1	1
412	13	0	6	0	0	1	1	1	1
413	9	0	10	0	1	2	1	1	1
414	17	0	10	0	1	2	1	1	1
415	10	0	12	0	2	2	1	1	1
416	15	0	12	0	1	2	1	1	1
417	15	0	10	0	2	1	2	1	1
418	14	0	8	0	0	1	1	1	1
419	6	0	4	0	1	1	1	1	1
420	20	0	18	0	1	2	1	1	1
421	16	0	8	0	2	2	1	1	1
422	19	0	8	0	2	2	1	1	1
423	17	0	6	0	1	1	1	1	1
424	14	0	8	0	0	2	1	1	1
425	6	0	4	0	0	1	1	1	1
426	5	0	4	0	0	1	1	1	1
427	12	0	12	0	2	2	1	1	1
428	14	0	8	0	0	2	1	1	1
429	10	0	8	0	2	2	1	1	1
430	8	0	8	0	1	2	1	1	1
431	13	0	10	0	0	2	1	1	1
432	8	0	2	0	1	1	1	1	1
433	21	0	16	0	1	2	1	1	1
434	18	0	8	0	1	2	1	1	1
435	97	0	3	0	0	0	0	0	0
436	17	0	14	0	1	2	1	1	1
437	10	0	6	0	2	2	1	1	1
438	11	0	6	0	0	1	1	1	1
439	97	0	2	0	1	0	0	0	0
440	17	0	12	0	2	2	1	1	1
441	10	0	12	0	1	2	1	1	1
442	3	0	2	0	0	2	1	1	1
443	26	0	28	0	0	1	3	1	1
444	10	0	8	0	2	2	1	1	1
445	19	0	14	0	1	2	1	1	1
446	19	0	12	0	2	2	2	1	1
447	8	0	4	0	3	2	1	1	1
448	10	0	8	0	2	2	1	1	1
449	14	0	12	0	2	1	1	1	1
450	21	0	14	0	2	2	1	1	1
451	15	0	10	0	1	2	1	1	1
452	17	0	10	0	2	2	2	1	1
453	28	0	22	0	0	1	4	1	1
454	20	0	8	0	1	2	1	1	1
455	14	0	14	0	0	2	1	1	1
456	19	0	12	0	2	2	2	1	1
457	15	0	8	0	0	2	1	1	1
458	15	0	12	0	2	1	1	1	1
459	9	0	10	0	0	2	1	1	1
